93,Afghanistan,+AC0-1
9375,Afghanistan Cellular+AC0-AT,+AC0-1
9370,Afghanistan Cellular+AC0-AWCC,+AC0-1
9376,Afghanistan Cellular+AC0-Areeba,+AC0-1
9377,Afghanistan Cellular+AC0-Areeba,+AC0-1
9378,Afghanistan Cellular+AC0-Etisalat,+AC0-1
937,Afghanistan Cellular+AC0-Others,+AC0-1
9372,Afghanistan Cellular+AC0-Roshan,+AC0-1
35586150,+ACI-Albania,AMC+ACI-,+AC0-1
35586260,+ACI-Albania,AMC+ACI-,+AC0-1
35586344,+ACI-Albania,AMC+ACI-,+AC0-1
35586372,+ACI-Albania,AMC+ACI-,+AC0-1
35586424,+ACI-Albania,AMC+ACI-,+AC0-1
35586462,+ACI-Albania,AMC+ACI-,+AC0-1
35586472,+ACI-Albania,AMC+ACI-,+AC0-1
35586494,+ACI-Albania,AMC+ACI-,+AC0-1
35586524,+ACI-Albania,AMC+ACI-,+AC0-1
35586572,+ACI-Albania,AMC+ACI-,+AC0-1
35586582,+ACI-Albania,AMC+ACI-,+AC0-1
35586622,+ACI-Albania,AMC+ACI-,+AC0-1
35586672,+ACI-Albania,AMC+ACI-,+AC0-1
35586750,+ACI-Albania,AMC+ACI-,+AC0-1
35586796,+ACI-Albania,AMC+ACI-,+AC0-1
35586850,+ACI-Albania,AMC+ACI-,+AC0-1
35586892,+ACI-Albania,AMC+ACI-,+AC0-1
35586922,+ACI-Albania,AMC+ACI-,+AC0-1
35586972,+ACI-Albania,AMC+ACI-,+AC0-1
35587150,+ACI-Albania,AMC+ACI-,+AC0-1
35587151,+ACI-Albania,AMC+ACI-,+AC0-1
35587174,+ACI-Albania,AMC+ACI-,+AC0-1
35587184,+ACI-Albania,AMC+ACI-,+AC0-1
35587194,+ACI-Albania,AMC+ACI-,+AC0-1
35587224,+ACI-Albania,AMC+ACI-,+AC0-1
35587270,+ACI-Albania,AMC+ACI-,+AC0-1
35587294,+ACI-Albania,AMC+ACI-,+AC0-1
35587322,+ACI-Albania,AMC+ACI-,+AC0-1
35587392,+ACI-Albania,AMC+ACI-,+AC0-1
35587442,+ACI-Albania,AMC+ACI-,+AC0-1
35587482,+ACI-Albania,AMC+ACI-,+AC0-1
35587540,+ACI-Albania,AMC+ACI-,+AC0-1
35587622,+ACI-Albania,AMC+ACI-,+AC0-1
35587652,+ACI-Albania,AMC+ACI-,+AC0-1
35587672,+ACI-Albania,AMC+ACI-,+AC0-1
35587692,+ACI-Albania,AMC+ACI-,+AC0-1
35587722,+ACI-Albania,AMC+ACI-,+AC0-1
35587760,+ACI-Albania,AMC+ACI-,+AC0-1
35587790,+ACI-Albania,AMC+ACI-,+AC0-1
35588140,+ACI-Albania,AMC+ACI-,+AC0-1
35588194,+ACI-Albania,AMC+ACI-,+AC0-1
35588222,+ACI-Albania,AMC+ACI-,+AC0-1
35588262,+ACI-Albania,AMC+ACI-,+AC0-1
35588274,+ACI-Albania,AMC+ACI-,+AC0-1
35588294,+ACI-Albania,AMC+ACI-,+AC0-1
35588324,+ACI-Albania,AMC+ACI-,+AC0-1
35588364,+ACI-Albania,AMC+ACI-,+AC0-1
35588372,+ACI-Albania,AMC+ACI-,+AC0-1
35588392,+ACI-Albania,AMC+ACI-,+AC0-1
35588440,+ACI-Albania,AMC+ACI-,+AC0-1
35588480,+ACI-Albania,AMC+ACI-,+AC0-1
35588540,+ACI-Albania,AMC+ACI-,+AC0-1
35588590,+ACI-Albania,AMC+ACI-,+AC0-1
35588640,+ACI-Albania,AMC+ACI-,+AC0-1
35588682,+ACI-Albania,AMC+ACI-,+AC0-1
35588692,+ACI-Albania,AMC+ACI-,+AC0-1
35588722,+ACI-Albania,AMC+ACI-,+AC0-1
35588750,+ACI-Albania,AMC+ACI-,+AC0-1
35588770,+ACI-Albania,AMC+ACI-,+AC0-1
35588790,+ACI-Albania,AMC+ACI-,+AC0-1
35589140,+ACI-Albania,AMC+ACI-,+AC0-1
35589164,+ACI-Albania,AMC+ACI-,+AC0-1
35589192,+ACI-Albania,AMC+ACI-,+AC0-1
35589224,+ACI-Albania,AMC+ACI-,+AC0-1
35589280,+ACI-Albania,AMC+ACI-,+AC0-1
35589324,+ACI-Albania,AMC+ACI-,+AC0-1
35589422,+ACI-Albania,AMC+ACI-,+AC0-1
35589480,+ACI-Albania,AMC+ACI-,+AC0-1
35589524,+ACI-Albania,AMC+ACI-,+AC0-1
35589562,+ACI-Albania,AMC+ACI-,+AC0-1
35589590,+ACI-Albania,AMC+ACI-,+AC0-1
35542,+ACI-Albania,Tirana+ACI-,+AC0-1
35543,+ACI-Albania,Tirana+ACI-,+AC0-1
213,Algeria,+AC0-1
2136,Algeria Cellular,+AC0-1
21370,Algeria Cellular+AC0-Djezzy,+AC0-1
21376,Algeria Cellular+AC0-Djezzy,+AC0-1
21377,Algeria Cellular+AC0-Djezzy,+AC0-1
213780,Algeria Cellular+AC0-Djezzy,+AC0-1
213781,Algeria Cellular+AC0-Djezzy,+AC0-1
213782,Algeria Cellular+AC0-Djezzy,+AC0-1
213783,Algeria Cellular+AC0-Djezzy,+AC0-1
2137899,Algeria Cellular+AC0-Djezzy,+AC0-1
21379,Algeria Cellular+AC0-Djezzy,+AC0-1
2135,Algeria Cellular+AC0-Wataniya,+AC0-1
21321,+ACI-Algeria,Algiers+ACI-,+AC0-1
1684,American Samoa,+AC0-1
16842,American Samoa Cellular,+AC0-1
168473,American Samoa Cellular,+AC0-1
376,Andorra,+AC0-1
3763,Andorra Cellular,+AC0-1
3764,Andorra Cellular,+AC0-1
3765,Andorra Cellular,+AC0-1
3766,Andorra Cellular,+AC0-1
244,Angola,+AC0-1
2449,Angola Cellular,+AC0-1
24491,Angola Cellular+AC0-Movicell,+AC0-1
24499,Angola Cellular+AC0-Movicell,+AC0-1
24492,Angola Cellular+AC0-Unitel,+AC0-1
